attempts,small_area,big_area,abs_err_small,abs_err_big
0,0.944517,0.944517,0,0
100,0.925,1.45832,0.0195172,0.513803
600,0.954167,0.858789,0.00964948,0.0857285
1100,0.954545,1.04292,0.0100283,0.0984029
1600,0.930469,0.923603,0.0140484,0.0209143
2100,0.9375,0.907399,0.00701719,0.0371178
2600,0.938462,0.968474,0.00605565,0.0239571
3100,0.928629,1.01926,0.0158882,0.074739
3600,0.938542,1.01002,0.00597552,0.0655047
4100,0.933841,1.00541,0.0106757,0.0608939
4600,0.945652,1.0018,0.00113499,0.0572855
5100,0.945588,0.979839,0.00107105,0.0353216
5600,0.951786,0.880201,0.00726853,0.0643167
6100,0.93709,0.945119,0.00742702,0.000601932
6600,0.94678,0.907399,0.00226312,0.0371178
7100,0.952817,0.925657,0.00829972,0.0188603
7600,0.951974,0.932558,0.0074565,0.0119597
8100,0.956481,0.95421,0.0119643,0.00969245
8600,0.952471,0.94056,0.00795374,0.00395706
9100,0.94739,0.975419,0.00287292,0.0309015
9600,0.940755,0.965125,0.00376198,0.0206074
10100,0.942574,0.970288,0.00194293,0.0257712
10600,0.94717,0.927272,0.00265263,0.0172455
11100,0.946509,0.971338,0.00199182,0.0268205
11600,0.945259,0.928632,0.000741435,0.0158856
12100,0.944525,0.962572,7.60749e-06,0.0180546
12600,0.949405,0.97993,0.00488758,0.0354124
13100,0.951908,0.958855,0.00739121,0.0143377
13600,0.938879,0.958631,0.00563851,0.014114
14100,0.946277,0.919811,0.00175941,0.0247066
14600,0.941182,0.909619,0.00333568,0.0348982
15100,0.94644,0.949679,0.00192321,0.00516166
15600,0.938622,0.986548,0.00589539,0.0420303
16100,0.943478,0.917866,0.00103893,0.0266509
16600,0.94744,0.954058,0.00292257,0.00954061
17100,0.940643,0.948903,0.00387391,0.00438603
17600,0.942045,0.986023,0.00247173,0.0415063
18100,0.947169,0.972751,0.00265132,0.0282335
18600,0.937298,0.925171,0.0072188,0.0193462
19100,0.942997,0.93811,0.0015198,0.00640742
19600,0.943304,0.967253,0.00121361,0.0227361
20100,0.938308,0.952382,0.00620873,0.00786519
20600,0.948665,0.935402,0.00414786,0.00911556
21100,0.945498,0.974517,0.000980444,0.0300002
21600,0.942824,0.963662,0.00169311,0.0191445
22100,0.942421,0.93702,0.00209637,0.00749684
22600,0.944248,0.91672,0.000269398,0.0277972
23100,0.937392,0.944015,0.00712541,0.000501993
23600,0.945074,0.968506,0.000556967,0.0239888
24100,0.935322,0.958094,0.00919561,0.0135771
24600,0.945732,0.963914,0.00121452,0.019397
25100,0.947361,0.961368,0.00284337,0.016851
25600,0.947949,0.937654,0.00343203,0.00686275
26100,0.946504,0.971469,0.00198665,0.0269514
26600,0.948073,0.956497,0.00355612,0.0119802
27100,0.946771,0.961451,0.00225403,0.0169339
27600,0.946649,0.950022,0.00213136,0.00550458
28100,0.950979,0.938653,0.00646146,0.00586399
28600,0.942308,0.948078,0.00220949,0.00356104
29100,0.950644,0.950497,0.00612714,0.0059803
29600,0.94565,0.944295,0.00113315,0.000221886
30100,0.945556,0.936361,0.00103929,0.00815599
30600,0.941544,0.97126,0.00297307,0.0267433
31100,0.944092,0.955645,0.000425546,0.0111281
31600,0.946598,0.927603,0.00208092,0.0169147
32100,0.94778,0.94859,0.00326319,0.00407253
32600,0.947278,0.968038,0.00276042,0.0235213
33100,0.940748,0.931974,0.00376945,0.0125432
33600,0.947879,0.950802,0.00336228,0.00628456
34100,0.944208,0.938001,0.000308975,0.00651639
34600,0.947941,0.923603,0.00342357,0.0209143
35100,0.94188,0.947008,0.00263684,0.00249087
35600,0.945857,0.922237,0.00133956,0.0222797
36100,0.941517,0.92266,0.00300057,0.0218569
36600,0.943784,0.936353,0.000733033,0.00816393
37100,0.946429,0.94234,0.00191139,0.00217754
37600,0.944648,0.956958,0.00013042,0.0124409
38100,0.946424,0.936489,0.0019067,0.00802797
38600,0.946697,0.957857,0.00217971,0.0133399
39100,0.941592,0.93243,0.00292511,0.0120873
39600,0.949369,0.933423,0.0048515,0.0110939
40100,0.945698,0.937301,0.00118107,0.007216
40600,0.944181,0.953296,0.000336151,0.00877895
41100,0.948601,0.961096,0.00408379,0.0165786
41600,0.95003,0.958892,0.00551286,0.0143752
42100,0.943498,0.93896,0.00101956,0.00555745
42600,0.937353,0.959662,0.0071639,0.0151444
43100,0.946549,0.950784,0.00203154,0.00626711
43600,0.943578,0.936313,0.000939204,0.00820414
44100,0.946599,0.95612,0.00208145,0.0116031
44600,0.9419,0.946491,0.00261696,0.00197417
45100,0.94163,0.934058,0.00288747,0.0104592
45600,0.945175,0.961553,0.000658253,0.0170362
46100,0.94615,0.943743,0.00163249,0.000774054
46600,0.942999,0.946135,0.00151826,0.00161772
47100,0.946125,0.964989,0.00160808,0.0204719
47600,0.941098,0.929118,0.0034195,0.0153996
48100,0.944439,0.938863,7.85165e-05,0.00565395
48600,0.945653,0.952009,0.00113611,0.00749197
49100,0.946996,0.957363,0.00247874,0.0128459
49600,0.945817,0.94144,0.00129935,0.00307729
50100,0.949177,0.928163,0.00465946,0.016354
50600,0.94501,0.943777,0.000492696,0.000739877
51100,0.944814,0.939299,0.000296904,0.00521806
51600,0.941715,0.919458,0.00280207,0.0250594
52100,0.946521,0.944596,0.00200393,7.88257e-05
52600,0.946911,0.954655,0.00239346,0.0101374
53100,0.94322,0.940539,0.00129685,0.00397835
53600,0.944869,0.95081,0.000352217,0.0062932
54100,0.941359,0.966643,0.00315859,0.0221255
54600,0.948901,0.950134,0.00438391,0.00561683
55100,0.946007,0.946276,0.00149007,0.00175895
55600,0.949033,0.934269,0.00451609,0.0102479
56100,0.943984,0.933048,0.000533229,0.0114694
56600,0.942646,0.950914,0.00187143,0.00639703
57100,0.94444,0.946844,7.76062e-05,0.00232691
57600,0.947244,0.934574,0.00272674,0.00994311
58100,0.946213,0.946611,0.00169624,0.00209423
58600,0.943217,0.945337,0.00130046,0.000819515
59100,0.948435,0.940464,0.00391767,0.0040527
59600,0.943477,0.949376,0.00103984,0.00485918
60100,0.94374,0.944066,0.000777585,0.000450873
60600,0.944059,0.967722,0.00045778,0.0232043
61100,0.945192,0.93307,0.000675122,0.0114467
61600,0.945252,0.960061,0.000734437,0.0155437
62100,0.944022,0.94419,0.000495447,0.000327138
62600,0.944569,0.936183,5.15042e-05,0.00833451
63100,0.944849,0.913665,0.000332259,0.0308521
63600,0.945991,0.950354,0.00147338,0.00583689
